IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria,Dependencia Administrativa,Nivel de Atención
110355,2026,1,5.0,7.0,MSI,Municipal,Primario
110355,2026,2,7.0,4.0,MSI,Municipal,Primario
110355,2026,3,5.0,5.0,MSI,Municipal,Primario
110360,2025,10,6.0,4.0,MSI,Municipal,Primario
110360,2025,11,2.0,1.0,MSI,Municipal,Primario
110360,2025,12,2.0,1.0,MSI,Municipal,Primario
110360,2026,1,2.0,0.0,MSI,Municipal,Primario
110360,2026,2,3.0,0.0,MSI,Municipal,Primario
110360,2026,3,1.0,2.0,MSI,Municipal,Primario
110361,2025,10,5.0,0.0,MSI,Municipal,Primario
110361,2025,11,2.0,0.0,MSI,Municipal,Primario
110361,2025,12,,1.0,MSI,Municipal,Primario
110361,2026,1,1.0,7.0,MSI,Municipal,Primario
110361,2026,2,0.0,1.0,MSI,Municipal,Primario
110361,2026,3,6.0,4.0,MSI,Municipal,Primario
110362,2025,10,2.0,2.0,MSI,Municipal,Primario
110362,2025,11,1.0,,MSI,Municipal,Primario
110362,2025,12,3.0,0.0,MSI,Municipal,Primario
110362,2026,1,1.0,2.0,MSI,Municipal,Primario
110362,2026,2,,0.0,MSI,Municipal,Primario
110362,2026,3,1.0,3.0,MSI,Municipal,Primario
110364,2025,10,1.0,2.0,MSI,Municipal,Primario
110364,2025,11,,2.0,MSI,Municipal,Primario
110364,2025,12,1.0,0.0,MSI,Municipal,Primario
110364,2026,1,,2.0,MSI,Municipal,Primario
110364,2026,2,1.0,3.0,MSI,Municipal,Primario
110364,2026,3,2.0,1.0,MSI,Municipal,Primario
110366,2025,10,4.0,6.0,MSI,Municipal,Primario
110366,2025,11,2.0,5.0,MSI,Municipal,Primario
110366,2025,12,1.0,9.0,MSI,Municipal,Primario
110366,2026,1,10.0,5.0,MSI,Municipal,Primario
110366,2026,2,4.0,5.0,MSI,Municipal,Primario
110366,2026,3,5.0,10.0,MSI,Municipal,Primario
110369,2025,10,,2.0,MSI,Municipal,Primario
110369,2025,11,1.0,5.0,MSI,Municipal,Primario
110369,2025,12,0.0,3.0,MSI,Municipal,Primario
110369,2026,1,2.0,2.0,MSI,Municipal,Primario
110369,2026,2,0.0,2.0,MSI,Municipal,Primario
110369,2026,3,2.0,0.0,MSI,Municipal,Primario
110370,2025,10,3.0,3.0,MSI,Municipal,Primario
110370,2025,11,,5.0,MSI,Municipal,Primario
110370,2025,12,,2.0,MSI,Municipal,Primario
110370,2026,1,1.0,5.0,MSI,Municipal,Primario
110370,2026,2,2.0,1.0,MSI,Municipal,Primario
110370,2026,3,3.0,8.0,MSI,Municipal,Primario
110375,2025,10,1.0,1.0,MSI,Municipal,Primario
110375,2025,11,,2.0,MSI,Municipal,Primario
110375,2025,12,,2.0,MSI,Municipal,Primario
110375,2026,1,2.0,2.0,MSI,Municipal,Primario
110375,2026,2,1.0,,MSI,Municipal,Primario
110375,2026,3,0.0,4.0,MSI,Municipal,Primario
110378,2025,10,5.0,5.0,MSI,Municipal,Primario
110378,2025,11,0.0,1.0,MSI,Municipal,Primario
110378,2025,12,1.0,2.0,MSI,Municipal,Primario
110378,2026,1,1.0,2.0,MSI,Municipal,Primario
110378,2026,2,0.0,3.0,MSI,Municipal,Primario
110378,2026,3,3.0,4.0,MSI,Municipal,Primario
110379,2025,10,1.0,1.0,MSI,Municipal,Primario
110379,2025,11,2.0,1.0,MSI,Municipal,Primario
110379,2025,12,2.0,1.0,MSI,Municipal,Primario
110379,2026,1,0.0,1.0,MSI,Municipal,Primario
110379,2026,2,2.0,4.0,MSI,Municipal,Primario
110379,2026,3,1.0,4.0,MSI,Municipal,Primario
110380,2025,10,,2.0,MSI,Municipal,Primario
110380,2025,11,,1.0,MSI,Municipal,Primario
110380,2025,12,1.0,,MSI,Municipal,Primario
110380,2026,1,1.0,1.0,MSI,Municipal,Primario
110380,2026,2,1.0,2.0,MSI,Municipal,Primario
110380,2026,3,,0.0,MSI,Municipal,Primario
110381,2025,10,1.0,1.0,MSI,Municipal,Primario
110381,2025,11,,6.0,MSI,Municipal,Primario
110381,2025,12,0.0,2.0,MSI,Municipal,Primario
110381,2026,1,3.0,1.0,MSI,Municipal,Primario
110381,2026,3,1.0,1.0,MSI,Municipal,Primario
110385,2025,11,1.0,0.0,MSI,Municipal,Primario
110385,2026,2,,1.0,MSI,Municipal,Primario
110385,2026,3,,0.0,MSI,Municipal,Primario
110387,2025,10,2.0,2.0,MSI,Municipal,Primario
110387,2025,11,,1.0,MSI,Municipal,Primario
110387,2025,12,4.0,0.0,MSI,Municipal,Primario
110387,2026,1,,1.0,MSI,Municipal,Primario
110387,2026,2,,1.0,MSI,Municipal,Primario
110387,2026,3,3.0,1.0,MSI,Municipal,Primario
110390,2025,10,0.0,2.0,MSI,Municipal,Primario
110390,2025,11,1.0,3.0,MSI,Municipal,Primario
110390,2025,12,0.0,2.0,MSI,Municipal,Primario
110390,2026,1,2.0,3.0,MSI,Municipal,Primario
110390,2026,2,4.0,2.0,MSI,Municipal,Primario
110390,2026,3,2.0,2.0,MSI,Municipal,Primario
110393,2025,10,,0.0,MSI,Municipal,Primario
110393,2025,12,0.0,,MSI,Municipal,Primario
110393,2026,1,,1.0,MSI,Municipal,Primario
110393,2026,2,,0.0,MSI,Municipal,Primario
110393,2026,3,,2.0,MSI,Municipal,Primario
110400,2025,10,,0.0,MSI,Municipal,Primario
110400,2025,12,,1.0,MSI,Municipal,Primario
110400,2026,1,0.0,0.0,MSI,Municipal,Primario
110400,2026,2,0.0,,MSI,Municipal,Primario
110400,2026,3,,0.0,MSI,Municipal,Primario
110425,2025,10,2.0,0.0,MSI,Municipal,Primario
