IdEstablecimiento,MS,Inscritos_suma_fonasa
114304,IIIa,3184.0
114305,IIIa,4670.0
114306,IIIa,3458.0
114307,IIIa,2493.0
114308,IIIa,2573.0
114309,IIIa,2705.0
114310,IIIa,1119.0
114311,IIIa,2912.0
114312,IIIa,4681.0
114313,IIIa,3191.0
114314,IIIa,2287.0
114315,IIIa,1687.0
114316,IIIa,3392.0
114317,IIIa,2997.0
114318,IIIa,1019.0
114319,IIIa,3436.0
114320,IIIa,4684.0
114321,IIIa,4366.0
114322,IIIa,7084.0
114323,IIIa,1816.0
114324,IIIa,4058.0
114325,IIIa,3677.0
114326,IIIa,4466.0
114327,IIIa,2011.0
114328,IIIa,2552.0
114329,IIIa,1907.0
114330,IIIa,3056.0
114331,IIIa,4178.0
114332,IIIa,4003.0
114333,IIIa,1196.0
114334,IIIa,3088.0
114401,IIIa,124.0
114403,IIIa,18.0
114406,IIIa,44.0
114407,IIIa,76.0
114408,IIIa,1.0
114410,IIIa,5.0
114706,IIIa,104.0
114714,IIIa,601.0
114796,IIIa,95.0
200037,IIIa,3.0
200080,IIIa,4.0
200189,IIIa,1.0
200210,IIIa,481.0
200265,IIIa,10.0
200282,IIIa,1.0
200304,IIIa,269.0
200337,IIIa,589.0
200342,IIIa,15.0
200346,IIIa,295.0
200347,IIIa,469.0
200360,IIIa,399.0
200361,IIIa,1186.0
200365,IIIa,241.0
200377,IIIa,598.0
200385,IIIa,146.0
200454,IIIa,588.0
200554,IIIa,339.0
200609,IIIa,345.0
200643,IIIa,232.0
200961,IIIa,756.0
200962,IIIa,537.0
200965,IIIa,3110.0
201091,IIIa,4224.0
201112,IIIa,2918.0
201129,IIIa,212.0
201462,IIIa,2713.0
311001,IIIa,2076.0
109300,IIIb,1106.0
109301,IIIb,570.0
109302,IIIb,396.0
109303,IIIb,474.0
109304,IIIb,119.0
109305,IIIb,284.0
109307,IIIb,247.0
109308,IIIb,258.0
109309,IIIb,235.0
109310,IIIb,941.0
109311,IIIb,838.0
109312,IIIb,294.0
109313,IIIb,716.0
109314,IIIb,215.0
109315,IIIb,429.0
109316,IIIb,664.0
109317,IIIb,177.0
109320,IIIb,132.0
109321,IIIb,375.0
109323,IIIb,262.0
109324,IIIb,742.0
109390,IIIb,324.0
109407,IIIb,173.0
109410,IIIb,6.0
109412,IIIb,7.0
109413,IIIb,12.0
109414,IIIb,79.0
109416,IIIb,1.0
109417,IIIb,1.0
109418,IIIb,4.0
109419,IIIb,2.0
109709,IIIb,111.0
109711,IIIb,143.0
109712,IIIb,124.0
109713,IIIb,48.0
109715,IIIb,55.0
109716,IIIb,41.0
109718,IIIb,104.0
110160,IIIb,88.0
110308,IIIb,437.0
110310,IIIb,441.0
110315,IIIb,491.0
110316,IIIb,356.0
110320,IIIb,515.0
110325,IIIb,397.0
110330,IIIb,502.0
110331,IIIb,338.0
110335,IIIb,379.0
110340,IIIb,362.0
110345,IIIb,317.0
110350,IIIb,622.0
110351,IIIb,466.0
110352,IIIb,402.0
110353,IIIb,289.0
110354,IIIb,486.0
110355,IIIb,406.0
110360,IIIb,712.0
110361,IIIb,588.0
110362,IIIb,397.0
110364,IIIb,241.0
110366,IIIb,732.0
110369,IIIb,500.0
110370,IIIb,326.0
110375,IIIb,163.0
110378,IIIb,367.0
110379,IIIb,431.0
110380,IIIb,116.0
110381,IIIb,114.0
110385,IIIb,120.0
110387,IIIb,146.0
110390,IIIb,424.0
110393,IIIb,65.0
110400,IIIb,36.0
110410,IIIb,13.0
110425,IIIb,172.0
110430,IIIb,17.0
110431,IIIb,17.0
110432,IIIb,16.0
110440,IIIb,98.0
110445,IIIb,57.0
110455,IIIb,37.0
110465,IIIb,28.0
110470,IIIb,13.0
110475,IIIb,34.0
110477,IIIb,21.0
110485,IIIb,28.0
110490,IIIb,6.0
110492,IIIb,13.0
110495,IIIb,36.0
110503,IIIb,30.0
110505,IIIb,1.0
110510,IIIb,1.0
110515,IIIb,1.0
110725,IIIb,1.0
110750,IIIb,7.0
110752,IIIb,13.0
110754,IIIb,12.0
110756,IIIb,11.0
110758,IIIb,13.0
110760,IIIb,54.0
110775,IIIb,39.0
110778,IIIb,103.0
110781,IIIb,63.0
110783,IIIb,23.0
111300,IIIb,682.0
111301,IIIb,244.0
111302,IIIb,343.0
111303,IIIb,280.0
111304,IIIb,250.0
111305,IIIb,409.0
111306,IIIb,317.0
111307,IIIb,190.0
111308,IIIb,175.0
111309,IIIb,333.0
111310,IIIb,995.0
111351,IIIb,3.0
111370,IIIb,634.0
111372,IIIb,289.0
111376,IIIb,655.0
111378,IIIb,237.0
111379,IIIb,381.0
111380,IIIb,391.0
111381,IIIb,1225.0
111382,IIIb,466.0
111383,IIIb,282.0
111400,IIIb,7.0
111704,IIIb,18.0
111780,IIIb,13.0
111781,IIIb,14.0
111782,IIIb,8.0
111783,IIIb,45.0
111784,IIIb,22.0
112301,IIIb,204.0
112302,IIIb,98.0
112303,IIIb,111.0
112304,IIIb,114.0
112306,IIIb,397.0
112307,IIIb,388.0
112309,IIIb,93.0
112310,IIIb,422.0
112311,IIIb,346.0
112312,IIIb,445.0
112313,IIIb,497.0
112314,IIIb,377.0
112315,IIIb,229.0
112316,IIIb,405.0
112317,IIIb,105.0
112318,IIIb,317.0
112319,IIIb,390.0
112320,IIIb,211.0
112321,IIIb,257.0
112322,IIIb,277.0
112323,IIIb,3.0
112707,IIIb,3.0
112716,IIIb,1.0
112717,IIIb,32.0
113300,IIIb,719.0
113301,IIIb,224.0
113302,IIIb,483.0
113303,IIIb,346.0
113304,IIIb,2.0
113305,IIIb,214.0
113306,IIIb,371.0
113307,IIIb,255.0
113308,IIIb,292.0
113309,IIIb,342.0
113310,IIIb,303.0
113311,IIIb,488.0
113312,IIIb,416.0
113313,IIIb,383.0
113314,IIIb,322.0
113315,IIIb,436.0
113316,IIIb,390.0
113317,IIIb,360.0
113318,IIIb,607.0
113319,IIIb,224.0
113320,IIIb,262.0
113321,IIIb,108.0
113322,IIIb,251.0
113323,IIIb,411.0
113324,IIIb,375.0
113326,IIIb,457.0
113328,IIIb,566.0
113329,IIIb,270.0
113330,IIIb,518.0
113331,IIIb,298.0
113332,IIIb,379.0
113333,IIIb,139.0
113334,IIIb,145.0
113390,IIIb,534.0
113394,IIIb,424.0
113396,IIIb,336.0
113402,IIIb,81.0
113404,IIIb,55.0
113405,IIIb,67.0
113406,IIIb,25.0
113407,IIIb,34.0
113408,IIIb,27.0
113409,IIIb,94.0
113410,IIIb,18.0
113411,IIIb,28.0
113412,IIIb,21.0
113413,IIIb,4.0
113701,IIIb,75.0
113702,IIIb,36.0
113703,IIIb,78.0
113713,IIIb,68.0
113716,IIIb,62.0
113717,IIIb,49.0
113722,IIIb,68.0
113728,IIIb,81.0
113753,IIIb,21.0
113790,IIIb,135.0
114102,IIIb,9.0
114301,IIIb,923.0
114302,IIIb,319.0
114303,IIIb,511.0
114304,IIIb,357.0
114305,IIIb,549.0
114306,IIIb,415.0
114307,IIIb,319.0
114308,IIIb,284.0
114309,IIIb,321.0
114310,IIIb,115.0
114311,IIIb,342.0
114312,IIIb,570.0
114313,IIIb,377.0
114314,IIIb,284.0
114315,IIIb,201.0
114316,IIIb,388.0
114317,IIIb,376.0
114318,IIIb,116.0
114319,IIIb,352.0
114320,IIIb,483.0
114321,IIIb,479.0
114322,IIIb,845.0
114323,IIIb,215.0
114324,IIIb,467.0
114325,IIIb,417.0
114326,IIIb,506.0
114327,IIIb,234.0
114328,IIIb,295.0
114329,IIIb,215.0
114330,IIIb,313.0
114331,IIIb,515.0
114332,IIIb,505.0
114333,IIIb,133.0
114334,IIIb,357.0
114401,IIIb,23.0
114403,IIIb,1.0
114406,IIIb,6.0
114407,IIIb,6.0
114706,IIIb,7.0
114714,IIIb,88.0
114796,IIIb,10.0
200080,IIIb,1.0
200210,IIIb,39.0
200265,IIIb,1.0
200304,IIIb,35.0
200337,IIIb,81.0
200342,IIIb,2.0
200346,IIIb,43.0
200347,IIIb,57.0
200360,IIIb,45.0
200361,IIIb,137.0
200365,IIIb,32.0
200377,IIIb,68.0
200385,IIIb,18.0
200454,IIIb,69.0
200554,IIIb,33.0
200609,IIIb,39.0
200643,IIIb,20.0
200961,IIIb,90.0
200962,IIIb,69.0
200965,IIIb,289.0
201091,IIIb,484.0
201112,IIIb,315.0
201129,IIIb,15.0
201462,IIIb,250.0
311001,IIIb,215.0
109300,IVa,6871.581
109301,IVa,4555.8
109302,IVa,3419.3579999999997
109303,IVa,3520.395
109304,IVa,1317.798
109305,IVa,2950.269
109307,IVa,2929.779
109308,IVa,3057.228
109309,IVa,2850.906
109310,IVa,6164.625
109311,IVa,4073.859
109312,IVa,1651.2749999999999
109313,IVa,3909.375
109314,IVa,3132.435
109315,IVa,4364.709
109316,IVa,4294.8
109317,IVa,1407.663
109320,IVa,1399.341
109321,IVa,3294.471
109323,IVa,1995.672
109324,IVa,4649.282999999999
109390,IVa,3298.041
